type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,432.83628612386883,-2.5726017633259883e-13,-1.7053025658242404e-12,0,0,0
edge,160.8499375454335,-1.6622188831333604e-13,-5.684341886080801e-13,0.0,0.0,27.198634857843533 
edge,166.18943395666622,-86.63881420762826,0.0,0.3141592653589793,18.0,28.036909226585923 
edge,184.35864435592242,-180.52957400289415,0.0,0.6283185307179586,36.0,30.713525611402257 
edge,242.05540436396976,-262.58735642587374,0.0,0.9424777960769379,54.0,32.4575822574346 
edge,336.2447092800717,-294.1500000000185,5.684341886080801e-13,1.2566370614359172,72.0,30.960322223320276 
edge,432.8362861238687,-294.15000000000026,0.0,1.5707963267948966,90.0,29.415 
edge,528.4114147707782,-294.1500000000003,0.0,1.8849555921538759,108.0,30.928761325968637 
edge,643.6954125996233,-290.22268944757366,0.0,2.199114857512855,126.0,35.87349727700115 
edge,740.7247680402246,-223.6940759952424,0.0,2.5132741228718345,144.0,38.05710931378305 
edge,768.8566447911472,-109.17963286624483,0.0,2.827433388230814,162.0,35.33127137136369 
edge,768.8566447911473,-2.4868995751603507e-13,-1.143278871829919e-12,3.141592653589793,180.0,33.60203586672785 
edge,768.8566447911472,109.17963286624408,0.0,3.4557519189487724,198.0,35.331271371363684 
edge,740.7247680402247,223.6940759952417,0.0,3.7699111843077517,216.0,38.05710931378305 
edge,643.6954125996235,290.22268944757303,0.0,4.084070449666731,234.0,35.87349727700114 
edge,528.4114147707784,294.14999999999975,0.0,4.39822971502571,252.0,30.928761325968637 
edge,432.83628612386894,294.14999999999975,0.0,4.71238898038469,270.0,29.415 
edge,336.2447092800719,294.1500000000181,5.684341886080801e-13,5.026548245743669,288.0,30.960322223320276 
edge,242.05540436396998,262.5873564258734,0.0,5.340707511102648,306.0,32.457582257434595 
edge,184.3586443559226,180.52957400289387,0.0,5.654866776461628,324.0,30.71352561140226 
edge,166.1894339566663,86.63881420762797,0.0,5.969026041820607,342.0,28.036909226585923 
